1.64E+03,2.16E+03
1.88E+03,2.93E+03
2.15E+03,2.93E+03
2.43E+03,2.93E+03
2.53E+03,2.68E+03
2.53E+03,2.58E+03
2.53E+03,2.38E+03
2.53E+03,2.28E+03
2.53E+03,2.18E+03
2.79E+03,2.15E+03
2.79E+03,2.25E+03
2.79E+03,2.35E+03
2.79E+03,2.45E+03
2.79E+03,2.55E+03
2.79E+03,2.65E+03
2.93E+03,2.93E+03
3.20E+03,2.93E+03
3.48E+03,2.93E+03
3.73E+03,2.93E+03
3.68E+03,2.68E+03
3.68E+03,2.58E+03
3.68E+03,2.38E+03
3.68E+03,2.28E+03
3.68E+03,2.18E+03
4.19E+03,2.16E+03
4.19E+03,2.26E+03
4.19E+03,2.36E+03
4.19E+03,2.46E+03
4.19E+03,2.56E+03
4.19E+03,2.66E+03
4.28E+03,2.98E+03
4.43E+03,2.93E+03
4.70E+03,2.93E+03
4.98E+03,2.93E+03
5.08E+03,2.68E+03
5.08E+03,2.58E+03
5.08E+03,2.38E+03
5.08E+03,2.28E+03
5.08E+03,2.18E+03
5.34E+03,2.15E+03
5.34E+03,2.25E+03
5.34E+03,2.35E+03
5.34E+03,2.45E+03
5.34E+03,2.55E+03
5.34E+03,2.65E+03
5.48E+03,2.93E+03
5.75E+03,2.93E+03
6.03E+03,2.93E+03
6.28E+03,2.93E+03
6.23E+03,2.68E+03
6.23E+03,2.58E+03
6.23E+03,2.38E+03
6.23E+03,2.28E+03
6.23E+03,2.18E+03
6.74E+03,2.16E+03
6.74E+03,2.26E+03
6.74E+03,2.36E+03
6.74E+03,2.46E+03
6.74E+03,2.56E+03
6.74E+03,2.66E+03
6.83E+03,2.98E+03
6.98E+03,2.93E+03
7.25E+03,2.93E+03
7.53E+03,2.93E+03
7.63E+03,2.68E+03
7.63E+03,2.58E+03
7.63E+03,2.38E+03
7.63E+03,2.28E+03
7.63E+03,2.18E+03
7.89E+03,2.15E+03
7.89E+03,2.25E+03
7.89E+03,2.35E+03
7.89E+03,2.45E+03
7.89E+03,2.55E+03
7.89E+03,2.65E+03
8.03E+03,2.93E+03
8.30E+03,2.93E+03
8.58E+03,2.93E+03
8.83E+03,2.93E+03
8.78E+03,2.68E+03
8.78E+03,2.58E+03
8.78E+03,2.38E+03
8.78E+03,2.28E+03
8.78E+03,2.18E+03
9.29E+03,2.16E+03
9.29E+03,2.26E+03
9.29E+03,2.36E+03
9.29E+03,2.46E+03
9.29E+03,2.56E+03
9.29E+03,2.66E+03
9.38E+03,2.98E+03
9.53E+03,2.93E+03
9.80E+03,2.93E+03
1.01E+04,2.93E+03
1.02E+04,2.68E+03
1.02E+04,2.58E+03
1.02E+04,2.38E+03
1.02E+04,2.28E+03
1.02E+04,2.18E+03
1.04E+04,2.15E+03
1.04E+04,2.25E+03
1.04E+04,2.35E+03
1.04E+04,2.45E+03
1.04E+04,2.55E+03
1.04E+04,2.65E+03
1.06E+04,2.93E+03
1.08E+04,2.93E+03
1.11E+04,2.93E+03
1.13E+04,2.18E+03
1.13E+04,2.28E+03
1.13E+04,2.38E+03
1.13E+04,2.58E+03
1.13E+04,2.68E+03
1.14E+04,2.93E+03
1.14E+04,3.13E+03
1.14E+04,3.23E+03
1.14E+04,3.33E+03
1.14E+04,3.48E+03
1.14E+04,3.63E+03
1.13E+04,3.83E+03
1.11E+04,3.83E+03
1.11E+04,3.93E+03
1.10E+04,3.98E+03
1.09E+04,3.98E+03
1.09E+04,3.88E+03
1.06E+04,3.93E+03
1.06E+04,3.73E+03
1.06E+04,3.33E+03
1.01E+04,3.33E+03
1.01E+04,3.73E+03
1.01E+04,3.93E+03
9.73E+03,3.88E+03
9.73E+03,3.98E+03
9.63E+03,3.98E+03
9.55E+03,3.88E+03
9.43E+03,3.88E+03
9.28E+03,3.90E+03
9.25E+03,3.70E+03
9.25E+03,3.58E+03
9.25E+03,3.48E+03
9.25E+03,3.38E+03
9.25E+03,3.28E+03
8.83E+03,3.13E+03
8.85E+03,3.23E+03
8.85E+03,3.33E+03
8.85E+03,3.48E+03
8.85E+03,3.63E+03
8.75E+03,3.83E+03
8.58E+03,3.83E+03
8.58E+03,3.93E+03
8.48E+03,3.98E+03
8.38E+03,3.88E+03
8.38E+03,3.98E+03
8.40E+03,4.13E+03
