0,0
551,996
627,996
704,996
704,1050
627,1050
551,1050
881,1350
932,1350
958,1350
983,1350
1010,1350
1030,1350
1310,1120
1290,1100
1290,996
1310,996
1470,996
1520,996
1590,996
1590,1100
1520,1100
1470,1100
1570,1120
1590,1150
1570,1170
1540,1170
1490,1170
1440,1170
1470,1200
1410,1230
1440,1230
1490,1230
1520,1230
1590,1250
1470,1250
1440,1250
1390,1250
1540,1280
1160,1120
1160,1230
1260,1300
1290,1300
1340,1300
1410,1300
1490,1300
1540,1300
1640,1300
1670,1330
1620,1330
1570,1330
1520,1330
1470,1330
1410,1330
1340,1330
1310,1330
1240,1330
1240,1350
1310,1350
1340,1350
1410,1350
1470,1350
1690,1350
1620,1380
1520,1380
1410,1380
1340,1380
1310,1380
1240,1380
1360,1390
1240,1400
1310,1400
1340,1400
1410,1400
1470,1400
1570,1400
1590,1400
1620,1400
1690,1430
1670,1430
1540,1430
1440,1430
1410,1430
1340,1430
1260,1430
1240,1450
1340,1450
1410,1450
1470,1450
1490,1450
1670,1450
1690,1450
1620,1480
1590,1480
1570,1480
1520,1480
1440,1480
1410,1480
1340,1480
1260,1480
1590,1500
1620,1500
1670,1530
1690,1530
1750,1530
1820,1530
1850,1530
1950,1530
1920,1560
1900,1560
1870,1560
1820,1560
1800,1560
1770,1560
1770,1660
1800,1660
1820,1660
1870,1660
1900,1660
1920,1660
1810,1690
1760,1690
1880,1730
2000,1730
2080,1730
2110,1730
2180,1730
2240,1730
2180,1780
2130,1780
2100,1780
2100,1810
2130,1810
2100,1830
2130,1830
2150,1830
2240,1850
2000,1850
1880,1850
2100,1860
2130,1860
2100,1890
2130,1890
2180,1890
2150,1910
2130,1910
2100,1910
2100,1940
2130,1940
2180,1940
2230,1940
2130,1960
2100,1960
1800,1990
1820,1990
1850,1990
1870,1990
1900,1990
1950,1990
2060,1990
2100,1990
2130,1990
2250,1990
2300,1990
2380,1990
2410,1990
2020,1400
2150,1400
2080,1710
2180,1710
2350,1730
2350,1850
3650,1010
3730,1010
3730,1090
3650,1090
3730,1150
3800,1150
3850,1150
3800,1170
3700,1170
3610,1200
3700,1200
3800,1200
3850,1200
4030,1310
3950,1310
3730,1310
3650,1310
3650,1390
3730,1390
3950,1390
4030,1390
3850,1120
3950,1090
4030,1090
4030,1010
3950,1010
